cinema_id,movie_id,movie_name,date,start_time,hall,language,version,price,seq_no,crawl_time
38475,1142033,疯狂动物城2,2025-11-30,12:00,2号厅 免费停车3小时,国语,2D,33,202511300148307,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,12:30,3号厅 免费停车3小时,原版,2D,33,202511300148324,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,13:00,4号厅 免费停车3小时,原版,2D,33,202511300148320,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,13:30,5号厅 免费停车3小时,国语,3D,38,202511300148325,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,14:00,2号厅 免费停车3小时,国语,2D,33,202511300148315,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,14:30,3号厅 免费停车3小时,原版,2D,33,202511300148322,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,15:00,4号厅 免费停车3小时,原版,2D,33,202511300148319,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,15:30,5号厅 免费停车3小时,原版,3D,38,202511300148323,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,16:00,2号厅 免费停车3小时,国语,2D,33,202511300148318,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,16:30,3号厅 免费停车3小时,原版,2D,33,202511300148314,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,17:00,4号厅 免费停车3小时,原版,2D,33,202511300148317,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,17:30,5号厅 免费停车3小时,原版,3D,38,202511300148321,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,18:00,2号厅 免费停车3小时,国语,2D,33,202511300148316,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,18:30,3号厅 免费停车3小时,原版,2D,33,202511300148312,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,19:00,4号厅 免费停车3小时,原版,2D,33,202511300148330,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,19:30,5号厅 免费停车3小时,国语,3D,38,202511300148313,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,20:00,2号厅 免费停车3小时,国语,2D,33,202511300148329,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,20:30,3号厅 免费停车3小时,原版,2D,33,202511300148310,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,21:00,4号厅 免费停车3小时,原版,2D,33,202511300148327,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,21:30,5号厅 免费停车3小时,原版,3D,38,202511300148311,2025-11-26 14:08:45
38475,1504105,狂野时代,2025-11-26,15:45,1号厅 免费停车3小时,国语,2D,33,202511260268228,2025-11-26 14:08:45
38475,1504105,狂野时代,2025-11-27,10:10,1号厅 免费停车3小时,国语,2D,33,202511270436471,2025-11-26 14:08:45
38475,1504105,狂野时代,2025-11-27,15:45,1号厅 免费停车3小时,国语,2D,33,202511270436472,2025-11-26 14:08:45
38475,1504105,狂野时代,2025-11-28,10:10,1号厅 免费停车3小时,国语,2D,33,202511280351279,2025-11-26 14:08:45
38475,1504105,狂野时代,2025-11-28,15:45,1号厅 免费停车3小时,国语,2D,33,202511280351280,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-26,18:35,1号厅 免费停车3小时,原版,2D,33,202511260268227,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-26,20:40,1号厅 免费停车3小时,原版,2D,33,202511260268226,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-27,18:35,1号厅 免费停车3小时,原版,2D,33,202511270436469,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-27,20:40,1号厅 免费停车3小时,原版,2D,33,202511270436470,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-28,18:35,1号厅 免费停车3小时,原版,2D,33,202511280351277,2025-11-26 14:08:45
38475,346650,惊天魔盗团3,2025-11-28,20:40,1号厅 免费停车3小时,原版,2D,33,202511280351278,2025-11-26 14:08:45
38475,1528577,鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025-11-27,13:00,1号厅 免费停车3小时,日语,2D,33,202511270436468,2025-11-26 14:08:45
38475,1528577,鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025-11-28,13:00,1号厅 免费停车3小时,日语,2D,33,202511280351276,2025-11-26 14:08:45
